nohup: ignoring input
================================================================================
[auto-launch] Monitoring training data download
================================================================================
  Expected zarrs: 17
  Zarr directory: /media/jeff/Seagate/ves_zarrs2
  Poll interval:  30s
  Campaign mode:  FULL (all 6 tests)
================================================================================
[2026-08-08 10:42:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:42:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:43:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:43:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:44:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:44:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:45:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:45:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:46:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:46:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:47:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:47:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:48:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:48:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:49:02] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:49:32] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:50:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:50:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:51:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:51:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:52:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:52:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:53:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:53:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:54:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:54:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:55:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:55:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:56:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:56:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:57:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:57:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:58:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:58:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:59:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 10:59:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:00:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:00:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:01:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:01:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:02:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:02:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:03:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:03:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:04:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:04:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:05:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:05:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:06:03] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:06:33] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:07:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:07:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:08:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:08:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:09:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:09:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:10:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:10:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:11:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:11:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:12:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:12:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:13:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:13:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:14:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:14:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:15:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:15:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:16:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:16:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:17:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:17:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:18:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:18:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:19:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:19:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:20:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:20:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:21:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:21:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:22:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:22:34] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:23:04] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:23:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:24:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:24:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:25:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:25:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:26:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:26:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:27:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:27:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:28:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:28:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:29:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:29:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:30:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:30:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:31:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:31:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:32:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:32:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:33:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:33:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:34:05] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
[2026-08-08 11:34:35] Progress: 6/17 zarrs (35.3%)  |  Active downloads: 6
